9.14802e-11	23	21	10	66
9.2823e-10	22	21	10	66
1.04015e-09	22	21	10	65
1.22501e-09	22	21	10	65
1.8852e-09	21	21	10	65
2.88679e-09	21	21	9	65
4.20157e-09	21	21	9	64
4.94082e-09	21	21	8	64
6.06084e-09	21	21	8	63
6.25997e-09	21	21	8	63
6.74278e-09	21	20	8	63
7.1036e-09	21	19	8	63
7.48379e-09	21	19	8	62
7.50954e-09	21	19	8	61
8.17108e-09	21	19	8	61
1.06827e-08	21	19	8	61
1.13037e-08	21	19	8	60
1.14633e-08	21	19	8	59
1.16552e-08	21	19	8	59
1.18941e-08	20	19	8	59
1.29786e-08	20	19	8	58
1.35072e-08	20	19	8	58
1.41259e-08	20	19	8	57
1.44025e-08	20	19	8	57
1.4553e-08	19	19	8	57
1.69634e-08	18	19	8	57
1.72487e-08	18	19	8	56
1.80796e-08	18	19	8	56
1.82934e-08	18	19	8	55
2.0215e-08	18	18	8	55
2.05213e-08	18	18	8	55
2.10925e-08	18	18	8	55
2.21594e-08	18	18	8	54
2.52127e-08	18	18	8	54
2.75094e-08	18	17	8	54
2.78868e-08	18	17	8	53
2.9678e-08	18	17	8	53
3.10168e-08	18	17	8	52
3.11249e-08	18	17	8	51
3.12405e-08	18	17	8	50
3.39211e-08	18	17	8	49
3.42759e-08	17	17	8	49
3.62795e-08	17	17	8	48
3.67689e-08	17	17	8	48
3.83575e-08	17	17	8	48
3.94443e-08	17	16	8	48
4.06701e-08	17	16	8	47
4.07323e-08	17	15	8	47
4.16144e-08	17	15	8	47
4.44661e-08	17	15	8	47
4.66225e-08	17	15	8	47
4.66483e-08	17	15	8	47
5.14575e-08	17	15	8	47
5.69907e-08	17	15	8	46
5.69971e-08	17	15	8	46
5.76822e-08	17	15	8	46
6.02506e-08	17	15	8	46
6.05011e-08	17	15	8	46
6.24165e-08	17	15	8	46
6.40738e-08	17	15	8	46
6.42323e-08	16	15	8	46
6.53884e-08	16	15	8	46
6.64473e-08	16	15	8	46
7.15447e-08	16	15	8	46
7.19753e-08	16	15	8	46
7.20698e-08	16	15	8	46
7.35986e-08	16	15	8	46
7.39041e-08	16	15	8	46
7.45242e-08	15	15	8	46
7.45662e-08	15	15	8	46
7.66295e-08	14	15	8	46
7.66974e-08	14	15	8	46
7.82414e-08	14	15	8	45
8.12061e-08	14	15	8	45
8.12635e-08	14	15	8	45
8.16707e-08	14	15	8	45
8.23986e-08	13	15	8	45
8.46451e-08	13	15	8	45
8.87475e-08	13	15	8	45
9.07563e-08	13	15	8	45
9.78096e-08	13	15	8	45
9.85393e-08	13	15	8	45
1.05141e-07	13	15	8	45
1.07149e-07	13	15	8	45
1.10966e-07	13	15	8	45
1.11183e-07	13	15	8	45
